0, 0            16500, 0        0               0           1
16500, 0        33000, 0        0               0           2
0, 0            2500, 25000     0               1.8e+08     3
16500, 0        2500, 25000     0               0           4
16500, 0        30500, 25000    0               0           5
33000, 0        30500, 25000    0               1.8e+08     6
25000, 25000    16500, 25000    1.8e+08         0           7
16500, 25000    30500, 25000                                8
2500, 25000     5000, 50000     1.8e+08         5.4e+08     9
16500, 25000    5000, 50000                                 10
16500, 25000    28000, 50000                                11
35000, 25000    28000, 50000    1.8e+08         5.4e+08     12
5000, 50000     16500, 50000                                13
16500, 50000    28000, 50000                                14
5000, 50000     7500, 75000     1.8e+08        5.4e+08      15
16500, 50000    7500, 75000                                 16
16500, 50000    25500, 75000                                17
28000, 50000    25500, 75000    1.8e+08        5.4e+08      18
7500, 75000     25500, 75000                                19
7500, 75000     7500, 93000     3.0e+06                     20
25500, 75000    25500, 93000    3.0e+06                     21
7500, 93000     16500, 93000    1.0e+06                     22
16500, 93000    25500, 93000    3.0e+06                     23

